,city,longitude,latitude,temp_day J+1 2025-04-27,feels_like_day J+1 2025-04-27,clouds J+1 2025-04-27,pop J+1 2025-04-27,temp_day J+2 2025-04-28,feels_like_day J+2 2025-04-28,clouds J+2 2025-04-28,pop J+2 2025-04-28,temp_day J+3 2025-04-29,feels_like_day J+3 2025-04-29,clouds J+3 2025-04-29,pop J+3 2025-04-29,temp_day J+4 2025-04-30,feels_like_day J+4 2025-04-30,clouds J+4 2025-04-30,pop J+4 2025-04-30,temp_day J+5 2025-05-01,feels_like_day J+5 2025-05-01,clouds J+5 2025-05-01,pop J+5 2025-05-01,temp_day J+6 2025-05-02,feels_like_day J+6 2025-05-02,clouds J+6 2025-05-02,pop J+6 2025-05-02,temp_day J+7 2025-05-03,feels_like_day J+7 2025-05-03,clouds J+7 2025-05-03,pop J+7 2025-05-03,id,temp_day_mean,difference_feels_like_day_mean,clouds_mean,pop_mean,temp_day_score,feels_like_score,clouds_score,pop_score,global_score,rank
0,Paris,2.3483915,48.8534951,19.47,18.52,54,0.0,20.8,19.93,0,0.0,23.6,22.98,0,0.0,25.19,24.78,6,0.0,27.13,26.46,4,0.0,26.24,26.24,0,0.0,20.01,18.72,0,0.0,6,23.205714285714286,0.687142857142856,9.142857142857142,0.0,20,20,20,20,20.0,1. Paris
1,Lille,3.0635282,50.6365654,19.64,18.78,7,0.0,19.24,18.24,1,0.0,21.16,20.43,3,0.0,23.37,22.89,87,0.0,24.65,24.24,14,0.0,18.43,17.69,75,0.0,17.96,16.93,6,0.0,8,20.63571428571429,0.7500000000000071,27.571428571428573,0.0,20,20,15,20,19.5,2. Lille
2,Le Havre,0.1079732,49.4938975,13.2,12.53,25,0.0,15.82,15.1,24,0.0,17.8,17.36,4,0.0,18.43,18.16,15,0.0,17.02,16.76,17,0.0,17.64,17.34,0,0.0,15.76,14.78,0,0.0,4,16.524285714285714,0.5199999999999996,12.142857142857142,0.0,10,20,20,20,18.0,3. Le Havre
3,Mont Saint Michel,-1.5114600,48.6359541,16.68,16.13,4,0.0,19.3,18.75,46,0.0,21.14,20.9,6,0.0,22.71,22.58,9,0.0,23.2,23.17,2,0.0,23.31,23.39,0,0.67,19.04,18.25,5,0.0,1,20.76857142857143,0.3157142857142894,10.285714285714286,0.09571428571428572,20,20,20,15,17.5,4. Mont Saint Michel
4,Bayeux,-0.7024738,49.2764624,15.07,14.3,3,0.0,17.55,17.03,5,0.0,19.12,18.81,5,0.0,20.85,20.71,14,0.0,22.7,22.72,8,0.2,18.58,18.35,1,0.0,14.46,13.55,0,0.0,3,18.332857142857144,0.40857142857143103,5.142857142857143,0.028571428571428574,20,20,20,15,17.5,5. Bayeux
5,Rouen,1.0939658,49.4404591,18.2,17.64,90,0.33,18.85,18.1,1,0.0,21.35,20.98,2,0.0,23.03,22.8,12,0.0,24.53,24.32,16,0.2,23.36,23.14,0,0.0,17.56,16.6,0,0.0,5,20.982857142857142,0.471428571428568,17.285714285714285,0.07571428571428572,20,20,20,15,17.5,6. Rouen
6,Amiens,2.2956951,49.8941708,18.52,17.86,69,0.0,18.72,18.14,1,0.0,21.03,20.52,2,0.0,22.92,22.6,17,0.0,23.97,23.68,17,0.0,21.88,21.72,2,0.2,16.89,16.04,0,0.0,7,20.56142857142857,0.48142857142856954,15.428571428571429,0.028571428571428574,20,20,20,15,17.5,7. Amiens
7,Strasbourg,7.7507127,48.5846140,15.12,14.23,100,0.0,18.29,17.53,35,0.0,21.52,21.06,2,0.0,22.73,22.26,7,0.0,24.27,24.14,17,0.5,23.32,23.01,35,0.02,17.75,16.57,4,0.0,9,20.428571428571427,0.5999999999999979,28.571428571428573,0.07428571428571429,20,20,15,15,17.0,8. Strasbourg
8,La Rochelle,-1.1515951,46.1597320,17.25,16.83,12,0.37,18.31,17.92,1,0.0,19.66,19.38,0,0.0,20.93,20.67,0,0.0,18.51,18.27,0,0.0,22.15,22.17,72,0.0,20.11,19.87,68,0.0,35,19.560000000000002,0.25857142857143245,21.857142857142858,0.05285714285714286,20,20,15,15,17.0,9. La Rochelle
9,St Malo,-2.0260409,48.6495180,14.13,13.45,5,0.0,16.39,15.78,5,0.0,18.17,17.87,7,0.0,19.54,19.43,13,0.0,20.24,20.17,1,0.3,19.09,19.09,1,0.0,16.21,15.51,5,0.0,2,17.681428571428572,0.3528571428571432,5.285714285714286,0.04285714285714286,10,20,20,15,15.5,10. St Malo
10,Dijon,5.0414701,47.3215806,16.46,15.88,15,0.31,17.47,17.1,71,0.03,20.36,20.25,0,0.2,21.43,21.27,0,0.0,23.13,23.17,0,1.0,22.4,22.05,0,0.0,18.43,17.97,0,0.0,14,19.954285714285714,0.2842857142857156,12.285714285714286,0.22,20,20,20,10,15.0,11. Dijon
11,Bormes les Mimosas,6.3419285,43.1506968,16.27,15.75,100,1.0,18.88,18.34,27,0.49,18.93,18.47,9,0.0,19.8,19.25,0,0.0,21.31,20.67,0,0.0,20.51,20.03,0,0.0,20.8,20.58,3,0.0,19,19.5,0.48714285714285666,19.857142857142858,0.21285714285714286,20,20,20,10,15.0,12. Bormes les Mimosas
12,Marseille,5.3699525,43.2961743,15.93,15.54,100,0.79,18.73,18.25,1,0.26,18.8,18.22,7,0.28,19.14,18.68,0,0.0,20.77,20.34,0,0.0,20.48,19.94,2,0.0,20.75,20.45,28,0.0,21,19.228571428571428,0.45428571428571374,19.714285714285715,0.19,20,20,20,10,15.0,13. Marseille
13,Aix en Provence,5.4474738,43.5298424,16.7,16.1,100,0.65,22.09,21.48,2,0.89,22.25,21.6,24,0.21,24.28,23.65,0,0.0,25.8,25.22,0,0.0,26.7,26.24,0,0.0,26.58,26.58,9,0.0,22,23.485714285714284,0.5042857142857109,19.285714285714285,0.25,20,20,20,10,15.0,14. Aix en Provence
14,Colmar,7.3579641,48.0777517,15.05,14.26,99,0.0,18.94,18.27,15,0.0,21.57,21.17,4,0.0,22.69,22.22,0,0.0,24.44,24.38,25,0.91,23.32,23.07,29,0.6,18.21,17.18,2,0.0,11,20.602857142857143,0.524285714285714,24.857142857142858,0.21571428571428572,20,20,15,10,14.5,15. Colmar
15,Eguisheim,7.3079618,48.0447968,14.77,13.95,100,0.0,18.63,17.96,15,0.0,21.23,20.79,4,0.0,22.29,21.8,0,0.0,24.39,24.27,24,0.95,23.09,22.79,23,0.7,17.89,16.86,4,0.0,12,20.327142857142857,0.5528571428571389,24.285714285714285,0.2357142857142857,20,20,15,10,14.5,16. Eguisheim
16,Cassis,5.5396318,43.2140359,14.79,14.39,100,1.0,17.75,17.23,3,0.43,17.65,17.01,5,0.0,18.14,17.6,0,0.0,19.64,19.15,0,0.0,19.21,18.62,2,0.0,19.35,18.99,41,0.0,20,18.075714285714287,0.5057142857142871,21.571428571428573,0.20428571428571426,20,20,15,10,14.5,17. Cassis
17,Avignon,4.8059012,43.9492493,19.54,19.04,96,1.0,22.71,22.26,10,0.0,24.5,24.05,10,0.21,25.63,25.21,0,0.0,26.23,26.23,0,0.0,27.61,27.46,1,0.0,25.46,25.18,29,0.0,23,24.525714285714287,0.32142857142857295,20.857142857142858,0.17285714285714285,20,20,15,10,14.5,18. Avignon
18,Uzes,4.4196718,44.0121279,18.81,18.31,97,1.0,21.57,21.14,6,0.37,22.37,21.92,15,0.0,23.78,23.39,0,0.0,24.67,24.21,0,0.0,27.35,27.07,1,0.0,26.35,26.35,47,0.0,24,23.557142857142857,0.3585714285714303,23.714285714285715,0.19571428571428573,20,20,15,10,14.5,19. Uzes
