,id,city,longitude,latitude,global_score,rank
0,6,Paris,2.3483915,48.8534951,20.0,1. Paris
1,8,Lille,3.0635282,50.6365654,19.5,2. Lille
2,4,Le Havre,0.1079732,49.4938975,18.0,3. Le Havre
3,1,Mont Saint Michel,-1.5114600,48.6359541,17.5,4. Mont Saint Michel
4,3,Bayeux,-0.7024738,49.2764624,17.5,5. Bayeux
5,5,Rouen,1.0939658,49.4404591,17.5,6. Rouen
6,7,Amiens,2.2956951,49.8941708,17.5,7. Amiens
7,9,Strasbourg,7.7507127,48.5846140,17.0,8. Strasbourg
8,35,La Rochelle,-1.1515951,46.1597320,17.0,9. La Rochelle
9,2,St Malo,-2.0260409,48.6495180,15.5,10. St Malo
10,14,Dijon,5.0414701,47.3215806,15.0,11. Dijon
11,19,Bormes les Mimosas,6.3419285,43.1506968,15.0,12. Bormes les Mimosas
12,21,Marseille,5.3699525,43.2961743,15.0,13. Marseille
13,22,Aix en Provence,5.4474738,43.5298424,15.0,14. Aix en Provence
14,11,Colmar,7.3579641,48.0777517,14.5,15. Colmar
15,12,Eguisheim,7.3079618,48.0447968,14.5,16. Eguisheim
16,20,Cassis,5.5396318,43.2140359,14.5,17. Cassis
17,23,Avignon,4.8059012,43.9492493,14.5,18. Avignon
18,24,Uzes,4.4196718,44.0121279,14.5,19. Uzes
19,25,Nimes,4.3600687,43.8374249,14.5,20. Nimes
20,26,Aigues Mortes,4.1915400,43.5661521,14.5,21. Aigues Mortes
21,27,Saintes Maries de la mer,4.4277202,43.4515922,14.5,22. Saintes Maries de la mer
22,28,Collioure,3.0831554,42.5250500,14.5,23. Collioure
23,29,Carcassonne,2.3491069,43.2130358,14.5,24. Carcassonne
24,31,Toulouse,1.4442469,43.6044622,14.5,25. Toulouse
25,32,Montauban,1.3549991,44.0175835,14.5,26. Montauban
26,33,Biarritz,-1.5592776,43.4832523,14.0,27. Biarritz
27,34,Bayonne,-1.4736657,43.4945144,14.0,28. Bayonne
28,10,Chateau du Haut Koenigsbourg,7.3443202,48.2494107,12.5,29. Chateau du Haut Koenigsbourg
29,15,Annecy,6.1288847,45.8992348,12.0,30. Annecy
30,17,Lyon,4.8320114,45.7578137,12.0,31. Lyon
31,18,Gorges du Verdon,6.3285616,43.7496562,12.0,32. Gorges du Verdon
32,13,Besancon,6.0243622,47.2380222,10.0,33. Besancon
33,16,Grenoble,5.7357819,45.1875602,10.0,34. Grenoble
34,30,Ariege,1.4065544,42.9455368,9.5,35. Ariege
