city,name,url,description,rating,longitude,latitude,temp_day J+1 2025-04-27,feels_like_day J+1 2025-04-27,clouds J+1 2025-04-27,pop J+1 2025-04-27,temp_day J+2 2025-04-28,feels_like_day J+2 2025-04-28,clouds J+2 2025-04-28,pop J+2 2025-04-28,temp_day J+3 2025-04-29,feels_like_day J+3 2025-04-29,clouds J+3 2025-04-29,pop J+3 2025-04-29,temp_day J+4 2025-04-30,feels_like_day J+4 2025-04-30,clouds J+4 2025-04-30,pop J+4 2025-04-30,temp_day J+5 2025-05-01,feels_like_day J+5 2025-05-01,clouds J+5 2025-05-01,pop J+5 2025-05-01,temp_day J+6 2025-05-02,feels_like_day J+6 2025-05-02,clouds J+6 2025-05-02,pop J+6 2025-05-02,temp_day J+7 2025-05-03,feels_like_day J+7 2025-05-03,clouds J+7 2025-05-03,pop J+7 2025-05-03,id,temp_day_mean,difference_feels_like_day_mean,clouds_mean,pop_mean,temp_day_score,feels_like_score,clouds_score,pop_score,global_score,rank
Paris,Hôtel des Arts Montmartre,https://www.booking.com/hotel/fr/hoteldesarts.fr.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9wYXJpcywgZnJhbmNlSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALi5JTHBsACAdICJGZmYjlkM2RlLTY2MTYtNGY5ZC1hZjQyLWI0MjI0ODExNjI0NdgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=df5e6d31b2030064&srepoch=1759851107&from=searchresults,"L’Hôtel des Arts Montmartre est situé dans le centre de Paris, dans le quartier de Montmartre, à 9 minutes à pied de la basilique du Sacré-Cœur.","9,6",2.3483915,48.8534951,19.47,18.52,54,0.0,20.8,19.93,0,0.0,23.6,22.98,0,0.0,25.19,24.78,6,0.0,27.13,26.46,4,0.0,26.24,26.24,0,0.0,20.01,18.72,0,0.0,6,23.205714285714286,0.687142857142856,9.142857142857142,0.0,20,20,20,20,20.0,1. Paris
Paris,Villa-des-Prés,https://www.booking.com/hotel/fr/villa-des-pres.fr.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9wYXJpcywgZnJhbmNlSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALi5JTHBsACAdICJGZmYjlkM2RlLTY2MTYtNGY5ZC1hZjQyLWI0MjI0ODExNjI0NdgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=df5e6d31b2030064&srepoch=1759851107&from=searchresults,"L’établissement Villa-des-Prés vous accueille à Paris, à 900 mètres de ce lieu d’intérêt : Jardin du Luxembourg.","9,6",2.3483915,48.8534951,19.47,18.52,54,0.0,20.8,19.93,0,0.0,23.6,22.98,0,0.0,25.19,24.78,6,0.0,27.13,26.46,4,0.0,26.24,26.24,0,0.0,20.01,18.72,0,0.0,6,23.205714285714286,0.687142857142856,9.142857142857142,0.0,20,20,20,20,20.0,1. Paris
Paris,Four Seasons Hotel George V Paris,https://www.booking.com/hotel/fr/four-seasons-george-v-paris.fr.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9wYXJpcywgZnJhbmNlSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALi5JTHBsACAdICJGZmYjlkM2RlLTY2MTYtNGY5ZC1hZjQyLWI0MjI0ODExNjI0NdgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=df5e6d31b2030064&srepoch=1759851107&from=searchresults,"Le Four Seasons Hotel George V Paris est installé à quelques pas des Champs-Élysées, sur l’avenue Georges V.","9,5",2.3483915,48.8534951,19.47,18.52,54,0.0,20.8,19.93,0,0.0,23.6,22.98,0,0.0,25.19,24.78,6,0.0,27.13,26.46,4,0.0,26.24,26.24,0,0.0,20.01,18.72,0,0.0,6,23.205714285714286,0.687142857142856,9.142857142857142,0.0,20,20,20,20,20.0,1. Paris
Paris,Edgar Suites Hameau - Porte de Versailles,https://www.booking.com/hotel/fr/edgar-suites-hameau-porte-de-versailles.fr.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9wYXJpcywgZnJhbmNlSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALi5JTHBsACAdICJGZmYjlkM2RlLTY2MTYtNGY5ZC1hZjQyLWI0MjI0ODExNjI0NdgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=df5e6d31b2030064&srepoch=1759851107&from=searchresults,"L’établissement Edgar Suites Hameau - Porte de Versailles se trouve à Paris, à respectivement 300 mètres et 3,8 km de ces lieux d’intérêt : Paris Expo Porte de Versailles et Tour Eiffel.","9,5",2.3483915,48.8534951,19.47,18.52,54,0.0,20.8,19.93,0,0.0,23.6,22.98,0,0.0,25.19,24.78,6,0.0,27.13,26.46,4,0.0,26.24,26.24,0,0.0,20.01,18.72,0,0.0,6,23.205714285714286,0.687142857142856,9.142857142857142,0.0,20,20,20,20,20.0,1. Paris
Paris,Hotel La Villa Saint Germain Des Prés,https://www.booking.com/hotel/fr/lavillasaintgermaindespres.fr.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9wYXJpcywgZnJhbmNlSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALi5JTHBsACAdICJGZmYjlkM2RlLTY2MTYtNGY5ZC1hZjQyLWI0MjI0ODExNjI0NdgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=df5e6d31b2030064&srepoch=1759851107&from=searchresults,"Situé à Paris, à moins de 1 km du musée d'Orsay, l'Hotel La Villa Saint Germain Des Prés propose un service de concierge, des chambres non-fumeurs, un bar et une salle de sport.","9,4",2.3483915,48.8534951,19.47,18.52,54,0.0,20.8,19.93,0,0.0,23.6,22.98,0,0.0,25.19,24.78,6,0.0,27.13,26.46,4,0.0,26.24,26.24,0,0.0,20.01,18.72,0,0.0,6,23.205714285714286,0.687142857142856,9.142857142857142,0.0,20,20,20,20,20.0,1. Paris
Lille,Au 30 Lille Centre Grand Palais,https://www.booking.com/hotel/fr/au-30.fr.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9saWxsZSwgZnJhbmNlSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALr5ZTHBsACAdICJGUxZTY1ZjhiLWY5NjAtNDI2MC1iNjIxLWJkMWNlYjIzMmFjMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=60e36d75104c05e6&srepoch=1759851244&from=searchresults,"Situé à Lille, à 50 mètres du Zénith et du Grand Palais, l'établissement Au 30 Lille Centre Grand Palais propose des appartements et des suites indépendants.","9,4",3.0635282,50.6365654,19.64,18.78,7,0.0,19.24,18.24,1,0.0,21.16,20.43,3,0.0,23.37,22.89,87,0.0,24.65,24.24,14,0.0,18.43,17.69,75,0.0,17.96,16.93,6,0.0,8,20.63571428571429,0.7500000000000071,27.571428571428573,0.0,20,20,15,20,19.5,2. Lille
Lille,Edgar Suites Lille - Faidherbe,https://www.booking.com/hotel/fr/edgar-suites-lille-faidherbe.fr.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9saWxsZSwgZnJhbmNlSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALr5ZTHBsACAdICJGUxZTY1ZjhiLWY5NjAtNDI2MC1iNjIxLWJkMWNlYjIzMmFjMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=60e36d75104c05e6&srepoch=1759851244&from=searchresults,"L’établissement Edgar Suites Lille - Faidherbe se trouve dans le centre de Lille, à respectivement 200 mètres et 600 mètres de ces lieux d’intérêt : Gare de Lille-Flandres et Hospice Gantois.","9,1",3.0635282,50.6365654,19.64,18.78,7,0.0,19.24,18.24,1,0.0,21.16,20.43,3,0.0,23.37,22.89,87,0.0,24.65,24.24,14,0.0,18.43,17.69,75,0.0,17.96,16.93,6,0.0,8,20.63571428571429,0.7500000000000071,27.571428571428573,0.0,20,20,15,20,19.5,2. Lille
Lille,Edgar Suites Lille - Shake,https://www.booking.com/hotel/fr/edgar-suites-lille-shake.fr.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9saWxsZSwgZnJhbmNlSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALr5ZTHBsACAdICJGUxZTY1ZjhiLWY5NjAtNDI2MC1iNjIxLWJkMWNlYjIzMmFjMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=60e36d75104c05e6&srepoch=1759851244&from=searchresults,"L’établissement Edgar Suites Lille - Shake se situe à Lille, à 500 mètres de ce lieu d’intérêt : Aéronef. Il possède la climatisation et une connexion Wi-Fi gratuite.","9,1",3.0635282,50.6365654,19.64,18.78,7,0.0,19.24,18.24,1,0.0,21.16,20.43,3,0.0,23.37,22.89,87,0.0,24.65,24.24,14,0.0,18.43,17.69,75,0.0,17.96,16.93,6,0.0,8,20.63571428571429,0.7500000000000071,27.571428571428573,0.0,20,20,15,20,19.5,2. Lille
Lille,Résidence Services Seniors DOMITYS - Villa Ulma,https://www.booking.com/hotel/fr/residence-services-seniors-domitys-villa-ulma.fr.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9saWxsZSwgZnJhbmNlSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALr5ZTHBsACAdICJGUxZTY1ZjhiLWY5NjAtNDI2MC1iNjIxLWJkMWNlYjIzMmFjMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=60e36d75104c05e6&srepoch=1759851244&from=searchresults,"L’établissement Résidence Services Seniors DOMITYS - Villa Ulma se situe à Lille, à respectivement 3 km et 4,6 km de ces lieux d’intérêt : Métro Saint-Philibert et Zoo de Lille.","9,0",3.0635282,50.6365654,19.64,18.78,7,0.0,19.24,18.24,1,0.0,21.16,20.43,3,0.0,23.37,22.89,87,0.0,24.65,24.24,14,0.0,18.43,17.69,75,0.0,17.96,16.93,6,0.0,8,20.63571428571429,0.7500000000000071,27.571428571428573,0.0,20,20,15,20,19.5,2. Lille
Lille,Au Chat Qui Dort Lille - Gare,https://www.booking.com/hotel/fr/au-chat-qui-dort-lille-gare.fr.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9saWxsZSwgZnJhbmNlSDNYBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALr5ZTHBsACAdICJGUxZTY1ZjhiLWY5NjAtNDI2MC1iNjIxLWJkMWNlYjIzMmFjMNgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=bayesian_review_score&nflt=ht_id%3D204&srpvid=60e36d75104c05e6&srepoch=1759851244&from=searchresults,"Doté d’une connexion Wi-Fi gratuite, l’établissement Au Chat Qui Dort Lille - Gare vous accueille dans le centre de Lille, à respectivement 200 mètres et 600 mètres de ces lieux d’intérêt : Gare de...","9,0",3.0635282,50.6365654,19.64,18.78,7,0.0,19.24,18.24,1,0.0,21.16,20.43,3,0.0,23.37,22.89,87,0.0,24.65,24.24,14,0.0,18.43,17.69,75,0.0,17.96,16.93,6,0.0,8,20.63571428571429,0.7500000000000071,27.571428571428573,0.0,20,20,15,20,19.5,2. Lille
